"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p","CI.lower","CI.upper"
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","No","Original","trees",NA,"Sample weights",NA,-0.063113816111969,0.0451391254715199,0.162326658365401,-0.151584876329783,0.0253572441058445
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,NA,NA,0.000823684814883287,0.0355080494620485,0.981497457034615,-0.0687708132919986,0.0704181829217652
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,"Sample weights",NA,-0.0308754193865436,0.0510110712302224,0.545131701428277,-0.130855281810587,0.0691044430374995
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.304032433467756,1.03935749096765,0.769944444403694,-2.34113568282627,1.73307081589076
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,"Sample weights",NA,0.554473839049572,1.35497460283741,0.682462539654946,-2.10122758247821,3.21017526057736
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,NA,NA,-0.912724375045456,1.14669907711305,0.42624070787849,-3.16021326729236,1.33476451720145
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,"Sample weights",NA,-0.473232311217533,1.47424859118419,0.748276591369631,-3.36270645419745,2.41624183176238
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0155740755725106,0.0339056065885889,0.64608143186565,-0.0508796922151077,0.0820278433601289
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","No","Original","trees",NA,"Sample weights",NA,-0.0232757673019629,0.0370201176346489,0.529651541760265,-0.0958338645693109,0.0492823299653851
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,NA,NA,0.00886660965286329,0.0336216999045977,0.792049984533913,-0.057030711259162,0.0747639305648885
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,"Sample weights",NA,-0.0195293189204241,0.0389248767718976,0.61597124512446,-0.0958206754960031,0.0567620376551548
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-1.36359529212211,1.1577799399962,0.239143692092789,-3.6328022765376,0.905611692293377
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,"Sample weights",NA,-0.211679998272554,1.26676937783733,0.867320261837126,-2.69450235555194,2.27114235900683
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,NA,NA,-1.37339623255494,1.19213783548611,0.249571276984961,-3.70994345471525,0.96315098960536
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,"Sample weights",NA,-0.345236299274142,1.34510253423749,0.797491449089414,-2.98158882189318,2.2911162233449
"PSA","IPTW","ATE",NA,"20/80","~3","Raw","No","Original","trees",NA,NA,NA,-0.0632836614521975,0.0307290005519866,0.0397557160628563,-0.123511395815003,-0.00305592708939224
"PSA","IPTW","ATE",NA,"20/80","~3","Raw","No","Original","trees",NA,"Sample weights",NA,-0.110378240197135,0.0379128741107949,0.0036916133300302,-0.184686108004694,-0.0360703723895759
